"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,15";"2015-04-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,20";"2015-04-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-03-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,25";"2015-03-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,33";"2015-03-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,27";"2015-02-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-02-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,28";"2015-02-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,29";"2015-02-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,37";"2015-02-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,40";"2015-01-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,32";"2015-01-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,24";"2015-01-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,13";"2015-01-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,98";"2015-01-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,80";"2014-12-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,72";"2014-12-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2014-12-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,50";"2014-12-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,44";"2014-12-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,39";"2014-12-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2014-11-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,30";"2014-11-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2014-11-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,13";"2014-11-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,01";"2014-10-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,99";"2014-10-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,03";"2014-10-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,91";"2014-10-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,80";"2014-10-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,74";"2014-09-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,62";"2014-09-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,53";"2014-09-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,48";"2014-08-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,50";"2014-08-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,40";"2014-07-31 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,32";"2014-07-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,23";"2014-07-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,00";"2014-06-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,90";"2014-06-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,81";"2014-06-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,70";"2014-05-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,61";"2014-05-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,53";"2014-04-17 00:00:00"

"Disclaimer CSV"
"Datum laatste update 18 nov 2017"
