
Importing updates of last 6 months into SourceData : XPAR_PDF.db.
Checking updates from 20170213 and adding to XPAR_PDF.db...

('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170810', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.79, '20170605', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.86, '20170602', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.51, '20170602', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170602', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.6, '20170602', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.75, '20170601', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.87, '20170530', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.81, '20170601', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.97, '20170526', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.64, '20170526', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.96, '20170525', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 4.0, '20170523', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.97, '20170524', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.81, '20170217', 'XPAR', '20170813_21h32')
('QUANTITATIVE MANAGEMENTASSOCIATES LLC', 'NEXANS', 'FR0000044448', 0.0, '20170522', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.59, '20170522', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.96, '20170215', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.01, '20170516', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.8, '20170512', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.99, '20170512', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.6, '20170510', 'XPAR', '20170813_21h32')

Rows added: 200

Done.

Deduplicating SourceData from XPAR_PDF.db ...

Duplicates:
[('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 0.99, '20170512'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 1.01, '20170516'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 0.96, '20170525'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 0.86, '20170602'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 0.77, '20170613'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 0.44, '20170614'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 0.73, '20170717'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 0.86, '20170718'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 1.04, '20170719'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 0.88, '20170720'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 0.92, '20170721'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 0.82, '20170802'), ('FIR TREE INC.', 'CASINO GUICHARD-PERRACHON', 0.62, '20170425'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.72, '20170602'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.69, '20170605'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.75, '20170613'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.69, '20170703'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.7, '20170704'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.68, '20170705'), ('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 0.72, '20170810'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 0.59, '20170608'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 0.69, '20170627'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 0.81, '20170628'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 0.96, '20170711'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 1.06, '20170712'), ('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 1.1, '20170717'), ('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 0.6, '20170510'), ('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 0.8, '20170512'), ('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 0.79, '20170605'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'GAZTRANSPORT ET TECHNIGAZ', 1.98, '20170727'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 0.51, '20170602'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 0.61, '20170607'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 0.7, '20170623'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 0.69, '20170703'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 0.59, '20170712'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 0.53, '20170612'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 0.61, '20170613'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 0.71, '20170727'), ('MYRIAD OPPORTUNITIES MASTER FUNDLIMITED', 'INGENICO', 0.56, '20170719'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 0.52, '20170720'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 0.61, '20170725'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 0.59, '20170802'), ('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 0.7, '20170612'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NATUREX', 0.6, '20170710'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 0.51, '20170720'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 0.61, '20170727'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 0.69, '20170627'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 0.7, '20170720'), ('JPMORGAN ASSET MANAGEMENT (UK)LIMITED', 'NEXANS', 0.53, '20170807'), ('QUANTITATIVE MANAGEMENTASSOCIATES LLC', 'NEXANS', 0.0, '20170522'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 4.0, '20170523'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.97, '20170524'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.87, '20170530'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.75, '20170601'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.6, '20170602'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.42, '20170605'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.25, '20170606'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 3.04, '20170607'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.92, '20170608'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.86, '20170612'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.78, '20170614'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.38, '20170619'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.18, '20170620'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 2.08, '20170622'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 1.98, '20170626'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 1.88, '20170628'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 1.72, '20170630'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 1.67, '20170703'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 1.57, '20170705'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 0.98, '20170713'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 0.63, '20170726'), ('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 0.71, '20170731'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'TECHNIPFMC PLC', 0.54, '20170616'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 0.96, '20170215'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 0.81, '20170217'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 0.97, '20170526'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 1.05, '20170707'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 1.1, '20170710'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 1.08, '20170726'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 0.63, '20170803'), ('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 0.78, '20170804'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.59, '20170522'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.64, '20170526'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.81, '20170601'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.94, '20170615'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.72, '20170810'), ('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 0.51, '20170811')]

Rows before: 1439

holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170512
Short interest: 0.99 vs 0.99
Alert: Same SI!! Only delete 1..
Deleting SI: 0.99
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170516
Short interest: 1.01 vs 1.01
Alert: Same SI!! Only delete 1..
Deleting SI: 1.01
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170525
Short interest: 0.96 vs 0.96
Alert: Same SI!! Only delete 1..
Deleting SI: 0.96
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170602
Short interest: 0.86 vs 0.86
Alert: Same SI!! Only delete 1..
Deleting SI: 0.86
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170613
Short interest: 0.77 vs 0.77
Alert: Same SI!! Only delete 1..
Deleting SI: 0.77
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: AIR FRANCE-KLM // date: 20170614
Short interest: 0.44 vs 0.44
Alert: Same SI!! Only delete 1..
Deleting SI: 0.44
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170717
Short interest: 0.73 vs 0.73
Alert: Same SI!! Only delete 1..
Deleting SI: 0.73
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170718
Short interest: 0.86 vs 0.86
Alert: Same SI!! Only delete 1..
Deleting SI: 0.86
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170719
Short interest: 1.04 vs 1.04
Alert: Same SI!! Only delete 1..
Deleting SI: 1.04
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170720
Short interest: 0.88 vs 0.88
Alert: Same SI!! Only delete 1..
Deleting SI: 0.88
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170721
Short interest: 0.92 vs 0.92
Alert: Same SI!! Only delete 1..
Deleting SI: 0.92
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: AIR FRANCE-KLM // date: 20170802
Short interest: 0.82 vs 0.82
Alert: Same SI!! Only delete 1..
Deleting SI: 0.82
holder: FIR TREE INC. // issuer: CASINO GUICHARD-PERRACHON // date: 20170425
Short interest: 0.0 vs 0.62
Deleting SI: 0.62
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170602
Short interest: 0.72 vs 0.72
Alert: Same SI!! Only delete 1..
Deleting SI: 0.72
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170605
Short interest: 0.69 vs 0.69
Alert: Same SI!! Only delete 1..
Deleting SI: 0.69
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170613
Short interest: 0.75 vs 0.75
Alert: Same SI!! Only delete 1..
Deleting SI: 0.75
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170703
Short interest: 0.69 vs 0.69
Alert: Same SI!! Only delete 1..
Deleting SI: 0.69
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170704
Short interest: 0.7 vs 0.7
Alert: Same SI!! Only delete 1..
Deleting SI: 0.7
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170705
Short interest: 0.68 vs 0.68
Alert: Same SI!! Only delete 1..
Deleting SI: 0.68
holder: SUSQUEHANNA INTERNATIONALHOLDINGS LLC // issuer: CGG // date: 20170810
Short interest: 0.72 vs 0.72
Alert: Same SI!! Only delete 1..
Deleting SI: 0.72
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170608
Short interest: 0.59 vs 0.59
Alert: Same SI!! Only delete 1..
Deleting SI: 0.59
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170627
Short interest: 0.69 vs 0.69
Alert: Same SI!! Only delete 1..
Deleting SI: 0.69
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170628
Short interest: 0.81 vs 0.81
Alert: Same SI!! Only delete 1..
Deleting SI: 0.81
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170711
Short interest: 0.96 vs 0.96
Alert: Same SI!! Only delete 1..
Deleting SI: 0.96
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170712
Short interest: 1.06 vs 1.06
Alert: Same SI!! Only delete 1..
Deleting SI: 1.06
holder: DAVIDSON KEMPNER EUROPEANPARTNERS, LLP // issuer: ELIS // date: 20170717
Short interest: 1.1 vs 1.1
Alert: Same SI!! Only delete 1..
Deleting SI: 1.1
holder: CANADA PENSION PLAN INVESTMENTBOARD // issuer: EUTELSAT COMMUNICATIONS // date: 20170510
Short interest: 0.6 vs 0.6
Alert: Same SI!! Only delete 1..
Deleting SI: 0.6
holder: CANADA PENSION PLAN INVESTMENTBOARD // issuer: EUTELSAT COMMUNICATIONS // date: 20170512
Short interest: 0.8 vs 0.8
Alert: Same SI!! Only delete 1..
Deleting SI: 0.8
holder: CANADA PENSION PLAN INVESTMENTBOARD // issuer: EUTELSAT COMMUNICATIONS // date: 20170605
Short interest: 0.79 vs 0.79
Alert: Same SI!! Only delete 1..
Deleting SI: 0.79
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: GAZTRANSPORT ET TECHNIGAZ // date: 20170727
Short interest: 1.98 vs 1.98
Alert: Same SI!! Only delete 1..
Deleting SI: 1.98
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: GENFIT // date: 20170602
Short interest: 0.51 vs 0.51
Alert: Same SI!! Only delete 1..
Deleting SI: 0.51
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: GENFIT // date: 20170607
Short interest: 0.61 vs 0.61
Alert: Same SI!! Only delete 1..
Deleting SI: 0.61
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: GENFIT // date: 20170623
Short interest: 0.7 vs 0.7
Alert: Same SI!! Only delete 1..
Deleting SI: 0.7
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: GENFIT // date: 20170703
Short interest: 0.69 vs 0.69
Alert: Same SI!! Only delete 1..
Deleting SI: 0.69
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: GENFIT // date: 20170712
Short interest: 0.59 vs 0.59
Alert: Same SI!! Only delete 1..
Deleting SI: 0.59
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: INGENICO // date: 20170612
Short interest: 0.53 vs 0.53
Alert: Same SI!! Only delete 1..
Deleting SI: 0.53
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: INGENICO // date: 20170613
Short interest: 0.61 vs 0.61
Alert: Same SI!! Only delete 1..
Deleting SI: 0.61
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: INGENICO // date: 20170727
Short interest: 0.71 vs 0.71
Alert: Same SI!! Only delete 1..
Deleting SI: 0.71
holder: MYRIAD OPPORTUNITIES MASTER FUNDLIMITED // issuer: INGENICO // date: 20170719
Short interest: 0.56 vs 0.56
Alert: Same SI!! Only delete 1..
Deleting SI: 0.56
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: KORIAN // date: 20170720
Short interest: 0.52 vs 0.52
Alert: Same SI!! Only delete 1..
Deleting SI: 0.52
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: KORIAN // date: 20170725
Short interest: 0.61 vs 0.61
Alert: Same SI!! Only delete 1..
Deleting SI: 0.61
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: KORIAN // date: 20170802
Short interest: 0.59 vs 0.59
Alert: Same SI!! Only delete 1..
Deleting SI: 0.59
holder: MILLENNIUM INTERNATIONALMANAGEMENT LP // issuer: MERCIALYS // date: 20170612
Short interest: 0.7 vs 0.7
Alert: Same SI!! Only delete 1..
Deleting SI: 0.7
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: NATUREX // date: 20170710
Short interest: 0.6 vs 0.6
Alert: Same SI!! Only delete 1..
Deleting SI: 0.6
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: NEOPOST S.A. // date: 20170720
Short interest: 0.51 vs 0.51
Alert: Same SI!! Only delete 1..
Deleting SI: 0.51
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: NEOPOST S.A. // date: 20170727
Short interest: 0.61 vs 0.61
Alert: Same SI!! Only delete 1..
Deleting SI: 0.61
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: NEOPOST S.A. // date: 20170627
Short interest: 0.69 vs 0.69
Alert: Same SI!! Only delete 1..
Deleting SI: 0.69
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: NEOPOST S.A. // date: 20170720
Short interest: 0.7 vs 0.7
Alert: Same SI!! Only delete 1..
Deleting SI: 0.7
holder: JPMORGAN ASSET MANAGEMENT (UK)LIMITED // issuer: NEXANS // date: 20170807
Short interest: 0.53 vs 0.53
Alert: Same SI!! Only delete 1..
Deleting SI: 0.53
holder: QUANTITATIVE MANAGEMENTASSOCIATES LLC // issuer: NEXANS // date: 20170522
Short interest: 0.0 vs 0.0
Alert: Same SI!! Only delete 1..
Deleting SI: 0.0
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170523
Short interest: 4.0 vs 4.0
Alert: Same SI!! Only delete 1..
Deleting SI: 4.0
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170524
Short interest: 3.97 vs 3.97
Alert: Same SI!! Only delete 1..
Deleting SI: 3.97
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170530
Short interest: 3.87 vs 3.87
Alert: Same SI!! Only delete 1..
Deleting SI: 3.87
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170601
Short interest: 3.75 vs 3.75
Alert: Same SI!! Only delete 1..
Deleting SI: 3.75
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170602
Short interest: 3.6 vs 3.6
Alert: Same SI!! Only delete 1..
Deleting SI: 3.6
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170605
Short interest: 3.42 vs 3.42
Alert: Same SI!! Only delete 1..
Deleting SI: 3.42
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170606
Short interest: 3.25 vs 3.25
Alert: Same SI!! Only delete 1..
Deleting SI: 3.25
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170607
Short interest: 3.04 vs 3.04
Alert: Same SI!! Only delete 1..
Deleting SI: 3.04
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170608
Short interest: 2.92 vs 2.92
Alert: Same SI!! Only delete 1..
Deleting SI: 2.92
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170612
Short interest: 2.86 vs 2.86
Alert: Same SI!! Only delete 1..
Deleting SI: 2.86
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170614
Short interest: 2.78 vs 2.78
Alert: Same SI!! Only delete 1..
Deleting SI: 2.78
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170619
Short interest: 2.38 vs 2.38
Alert: Same SI!! Only delete 1..
Deleting SI: 2.38
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170620
Short interest: 2.18 vs 2.18
Alert: Same SI!! Only delete 1..
Deleting SI: 2.18
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170622
Short interest: 2.08 vs 2.08
Alert: Same SI!! Only delete 1..
Deleting SI: 2.08
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170626
Short interest: 1.98 vs 1.98
Alert: Same SI!! Only delete 1..
Deleting SI: 1.98
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170628
Short interest: 1.88 vs 1.88
Alert: Same SI!! Only delete 1..
Deleting SI: 1.88
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170630
Short interest: 1.72 vs 1.72
Alert: Same SI!! Only delete 1..
Deleting SI: 1.72
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170703
Short interest: 1.67 vs 1.67
Alert: Same SI!! Only delete 1..
Deleting SI: 1.67
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170705
Short interest: 1.57 vs 1.57
Alert: Same SI!! Only delete 1..
Deleting SI: 1.57
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170713
Short interest: 0.98 vs 0.98
Alert: Same SI!! Only delete 1..
Deleting SI: 0.98
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170726
Short interest: 0.63 vs 0.63
Alert: Same SI!! Only delete 1..
Deleting SI: 0.63
holder: OCH-ZIFF MANAGEMENT EUROPELIMITED // issuer: PIERRE ET VACANCES // date: 20170731
Short interest: 0.71 vs 0.71
Alert: Same SI!! Only delete 1..
Deleting SI: 0.71
holder: BLACKROCK INVESTMENT MANAGEMENTUK LIMITED // issuer: TECHNIPFMC PLC // date: 20170616
Short interest: 0.54 vs 0.54
Alert: Same SI!! Only delete 1..
Deleting SI: 0.54
holder: BOSTON PARTNERS GLOBAL INVESTORSINC // issuer: TELEVISION FRANCAISE 1 // date: 20170215
Short interest: 0.96 vs 0.96
Alert: Same SI!! Only delete 1..
Deleting SI: 0.96
holder: BOSTON PARTNERS GLOBAL INVESTORSINC // issuer: TELEVISION FRANCAISE 1 // date: 20170217
Short interest: 0.81 vs 0.81
Alert: Same SI!! Only delete 1..
Deleting SI: 0.81
holder: BOSTON PARTNERS GLOBAL INVESTORSINC // issuer: TELEVISION FRANCAISE 1 // date: 20170526
Short interest: 0.97 vs 0.97
Alert: Same SI!! Only delete 1..
Deleting SI: 0.97
